# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-30.024662017822266	0.0	0.0	130.82582092285156	-30.194303512573242	137.2828369140625	111.5709457397461	0.006943877320736647	9.757729755661011e-05
2	54	-30.82813262939453	0.0	0.0	149.30148315429688	-30.860898971557617	132.70233154296875	106.25462341308594	0.012413251213729382	9.05463412215599e-05
3	81	-31.011791229248047	0.0	0.0	98.5949935913086	-30.94192123413086	121.12657165527344	94.43325805664062	0.018291225656867027	7.959536998847742e-05
4	108	-30.626293182373047	0.0	0.0	154.9558563232422	-30.947845458984375	118.6998291015625	92.11162567138672	0.020760804414749146	6.57963412215599e-05
5	135	-31.27105712890625	0.0	0.0	88.164306640625	-31.37392234802246	113.14217376708984	85.67381286621094	0.021007757633924484	5.05e-05
6	162	-31.5264949798584	0.0	0.0	96.46495056152344	-31.518959045410156	102.49888610839844	74.43380737304688	0.017917707562446594	3.5203658778440106e-05
7	189	-31.69843101501465	0.0	0.0	79.16390228271484	-31.84187889099121	100.90217590332031	72.83610534667969	0.023857293650507927	2.1404630011522586e-05
8	216	-32.006507873535156	0.0	0.0	104.22978973388672	-31.948562622070312	101.72429656982422	73.33668518066406	0.023394500836730003	1.0453658778440107e-05
9	243	-32.14813232421875	0.0	0.0	147.78347778320312	-32.17920684814453	98.21768188476562	69.78656005859375	0.03247097134590149	3.4227024433899e-06
10	270	-32.19647216796875	0.0	0.0	49.80307388305664	-32.251426696777344	98.08322143554688	69.48060607910156	0.03985518962144852	1e-06
# Best epoch: 10
