# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-3.6237597465515137	0.0	0.0	48.12491989135742	-3.6540210247039795	225.16622924804688	221.54110717773438	0.065793476998806	9.986158796046841e-05
2	54	-3.7049386501312256	0.0	0.0	13.767027854919434	-3.7623825073242188	209.3098602294922	205.58299255371094	0.08961918205022812	9.944712589814385e-05
3	81	-3.7744548320770264	0.0	0.0	33.63430404663086	-3.781055212020874	198.46994018554688	194.70452880859375	0.0890057235956192	9.875893165300026e-05
4	108	-3.830082893371582	0.0	0.0	29.370973587036133	-3.8228883743286133	184.48434448242188	180.53598022460938	0.08408838510513306	9.780085388641395e-05
5	135	-3.7533814907073975	0.0	0.0	12.958427429199219	-3.810452938079834	207.75244140625	204.09341430664062	0.0670357272028923	9.65782505578881e-05
6	162	-3.801762342453003	0.0	0.0	23.254623413085938	-3.873626470565796	189.590087890625	185.77267456054688	0.09819917380809784	9.509795896116972e-05
7	189	-3.84121036529541	0.0	0.0	12.556694984436035	-3.861851692199707	192.0911865234375	188.27825927734375	0.08430971950292587	9.336825748732971e-05
8	216	-3.8056209087371826	0.0	0.0	13.696502685546875	-3.8762264251708984	189.35467529296875	185.5704345703125	0.08407953381538391	9.139881932864174e-05
9	243	-3.747098445892334	0.0	0.0	26.49770736694336	-3.8306164741516113	185.11038208007812	181.245849609375	0.10804843157529831	8.920065838216747e-05
10	270	-3.907932758331299	0.0	0.0	12.629280090332031	-3.885100841522217	187.32513427734375	183.56051635742188	0.08791514486074448	8.678606765557639e-05
11	297	-3.84118914604187	0.0	0.0	15.213783264160156	-3.8979194164276123	176.30052185058594	172.40628051757812	0.07090194523334503	8.416855051966051e-05
12	324	-3.9593303203582764	0.0	0.0	22.20035743713379	-3.9500999450683594	174.8577117919922	170.9736785888672	0.07337262481451035	8.136274519200731e-05
13	351	-3.936366558074951	0.0	0.0	15.877184867858887	-3.8880202770233154	175.1008758544922	171.16989135742188	0.11193333566188812	7.83843428741493e-05
14	378	-3.8406243324279785	0.0	0.0	21.354726791381836	-3.9004998207092285	175.24594116210938	171.35723876953125	0.07393216341733932	7.525000000000001e-05
15	405	-3.921731472015381	0.0	0.0	17.491621017456055	-3.950626850128174	181.20196533203125	177.36761474609375	0.1112043485045433	7.197724508631914e-05
16	432	-3.9395389556884766	0.0	0.0	12.662798881530762	-3.9554615020751953	184.12840270996094	180.35287475585938	0.1055811271071434	6.858438070613657e-05
17	459	-3.941479444503784	0.0	0.0	104.49773406982422	-3.9604926109313965	172.2774658203125	168.42105102539062	0.09292470663785934	6.509038113333976e-05
18	486	-4.035852432250977	0.0	0.0	26.06342315673828	-4.028465270996094	163.5548095703125	159.60499572753906	0.07898356765508652	6.151478623083758e-05
19	513	-4.003462791442871	0.0	0.0	13.056074142456055	-4.044908046722412	163.83837890625	159.94180297851562	0.0936594307422638	5.787759217572066e-05
20	540	-4.047537803649902	0.0	0.0	14.11281681060791	-4.0476813316345215	156.21470642089844	152.21507263183594	0.10776921361684799	5.419913963252802e-05
21	567	-4.009855270385742	0.0	0.0	18.5187931060791	-4.026086807250977	162.74205017089844	158.8126220703125	0.10849632322788239	5.0500000000000015e-05
22	594	-4.08670711517334	0.0	0.0	13.360258102416992	-4.04019832611084	158.82115173339844	154.8176727294922	0.11153280735015869	4.680086036747202e-05
23	621	-4.089487075805664	0.0	0.0	37.95854568481445	-4.0893473625183105	153.5092315673828	149.50759887695312	0.09388729929924011	4.3122407824279384e-05
24	648	-4.033839702606201	0.0	0.0	15.789690971374512	-4.1231303215026855	154.3378143310547	150.35372924804688	0.10473044961690903	3.948521376916245e-05
25	675	-4.0541887283325195	0.0	0.0	34.53987503051758	-4.137921333312988	154.9945068359375	151.04299926757812	0.11119593679904938	3.590961886666025e-05
26	702	-4.1575541496276855	0.0	0.0	71.00096893310547	-4.134005546569824	152.4512176513672	148.4981231689453	0.1249309778213501	3.241561929386345e-05
27	729	-4.197010040283203	0.0	0.0	17.12490463256836	-4.1496686935424805	152.2181396484375	148.22877502441406	0.1137763112783432	2.9022754913680884e-05
28	756	-4.145298004150391	0.0	0.0	21.411945343017578	-4.184114456176758	147.35943603515625	143.32745361328125	0.12615364789962769	2.575000000000002e-05
29	783	-4.127715587615967	0.0	0.0	23.697904586791992	-4.184693336486816	144.54319763183594	140.5081787109375	0.1263018250465393	2.2615657125850715e-05
30	810	-4.211069107055664	0.0	0.0	17.54558563232422	-4.192471981048584	146.9807586669922	142.96295166015625	0.11367412656545639	1.9637254807992697e-05
