# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-31.093761444091797	0.0	0.0	63.408447265625	-31.295883178710938	842.763671875	813.6573486328125	0.0155305415391922	9.757729755661011e-05
2	54	-31.477109909057617	0.0	0.0	62.805843353271484	-31.362773895263672	822.4854736328125	792.3019409179688	0.02434622123837471	9.05463412215599e-05
3	81	-31.57543182373047	0.0	0.0	50.456199645996094	-31.592437744140625	810.355712890625	779.9635009765625	0.030213650315999985	7.959536998847742e-05
4	108	-31.811874389648438	0.0	0.0	45.78602600097656	-31.699317932128906	795.776611328125	764.9703979492188	0.02535228431224823	6.57963412215599e-05
5	135	-31.7313289642334	0.0	0.0	84.11771392822266	-31.74921226501465	796.3922729492188	765.57373046875	0.03379696235060692	5.05e-05
6	162	-32.02020263671875	0.0	0.0	48.3209114074707	-31.95686912536621	784.9713745117188	753.8883666992188	0.046059027314186096	3.5203658778440106e-05
7	189	-32.09673309326172	0.0	0.0	44.077178955078125	-32.06282043457031	776.6636962890625	745.35400390625	0.04989882931113243	2.1404630011522586e-05
8	216	-32.166168212890625	0.0	0.0	39.36790466308594	-32.13068771362305	765.8695068359375	734.42724609375	0.052587926387786865	1.0453658778440107e-05
9	243	-32.20217514038086	0.0	0.0	39.08129119873047	-32.17626953125	764.396728515625	732.8766479492188	0.051113516092300415	3.4227024433899e-06
10	270	-32.229347229003906	0.0	0.0	36.39358901977539	-32.21049499511719	762.9212646484375	731.2726440429688	0.052822794765233994	1e-06
# Best epoch: 10
