# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-24.003692626953125	0.0	0.0	29.509000778198242	-23.99905776977539	416.1884765625	393.36309814453125	0.03732260316610336	9.757729755661011e-05
2	54	-23.975875854492188	0.0	0.0	52.47927474975586	-24.096736907958984	390.0922546386719	366.404052734375	0.04851747676730156	9.05463412215599e-05
3	81	-24.20654296875	0.0	0.0	41.7933464050293	-24.2100830078125	377.97442626953125	353.70245361328125	0.03412589430809021	7.959536998847742e-05
4	108	-24.299179077148438	0.0	0.0	50.19729995727539	-24.27101707458496	379.1639404296875	355.0181579589844	0.042300596833229065	6.57963412215599e-05
5	135	-24.48427963256836	0.0	0.0	31.76491355895996	-24.326284408569336	367.363037109375	343.06524658203125	0.0642242431640625	5.05e-05
6	162	-24.5410213470459	0.0	0.0	48.95014572143555	-24.47231674194336	363.95184326171875	339.613037109375	0.04875869303941727	3.5203658778440106e-05
7	189	-24.60768699645996	0.0	0.0	46.30179977416992	-24.5544490814209	357.1131591796875	332.65869140625	0.07999114692211151	2.1404630011522586e-05
8	216	-24.719867706298828	0.0	0.0	34.8073844909668	-24.672149658203125	354.99310302734375	330.3571472167969	0.07038653641939163	1.0453658778440107e-05
9	243	-24.7335262298584	0.0	0.0	26.820526123046875	-24.73883628845215	354.24761962890625	329.5626220703125	0.07970434427261353	3.4227024433899e-06
10	270	-24.873586654663086	0.0	0.0	23.755020141601562	-24.755298614501953	352.1477966308594	327.4412536621094	0.08328428864479065	1e-06
# Best epoch: 10
