# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	18	-0.07206939160823822	0.0	0.0	2.665574073791504	-0.06299193203449249	394.9275207519531	394.7104797363281	0.2705391049385071	9.875893165300026e-05
2	36	-0.08509553968906403	0.0	0.0	2.88740611076355	-0.07880841195583344	395.8726806640625	395.6656188964844	0.2669198513031006	9.509795896116975e-05
3	54	-0.11698035895824432	0.0	0.0	2.5794897079467773	-0.08614496886730194	386.4227294921875	386.2066650390625	0.27995359897613525	8.920065838216748e-05
4	72	-0.11086717247962952	0.0	0.0	2.782243251800537	-0.11036346852779388	390.96099853515625	390.76422119140625	0.2921260595321655	8.136274519200731e-05
5	90	-0.12020131945610046	0.0	0.0	2.3897528648376465	-0.099326491355896	383.6082458496094	383.39886474609375	0.2851673364639282	7.197724508631912e-05
6	108	-0.12530621886253357	0.0	0.0	2.402381181716919	-0.12569493055343628	382.614501953125	382.41046142578125	0.2945551872253418	6.151478623083756e-05
7	126	-0.14794600009918213	0.0	0.0	2.5225393772125244	-0.12822981178760529	380.9204406738281	380.7166442871094	0.27964359521865845	5.05e-05
8	144	-0.15755534172058105	0.0	0.0	2.005638837814331	-0.1311100721359253	374.087890625	373.87091064453125	0.2954317629337311	3.948521376916244e-05
9	162	-0.1624908596277237	0.0	0.0	2.2943525314331055	-0.14092451333999634	374.9867248535156	374.7816467285156	0.29867643117904663	2.9022754913680878e-05
10	180	-0.1798669695854187	0.0	0.0	2.0750069618225098	-0.1422915756702423	376.0709533691406	375.88616943359375	0.3061690330505371	1.9637254807992694e-05
11	198	-0.15747341513633728	0.0	0.0	2.148796558380127	-0.1495334506034851	375.745849609375	375.5628662109375	0.30635905265808105	1.1799341617832541e-05
12	216	-0.1481366902589798	0.0	0.0	2.085331916809082	-0.14693796634674072	372.4722900390625	372.2831726074219	0.30662113428115845	5.902041038830257e-06
13	234	-0.16580206155776978	0.0	0.0	2.076754093170166	-0.15879030525684357	372.8570861816406	372.66998291015625	0.3069887161254883	2.241068346999725e-06
14	252	-0.1774061918258667	0.0	0.0	1.755606770515442	-0.15915508568286896	372.99603271484375	372.81048583984375	0.30833548307418823	1e-06
# Best epoch: 14
