# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-5.68424129486084	0.0	0.0	16.804895401000977	-5.69101619720459	499.4827575683594	494.6228942871094	0.01118599995970726	9.757729755661011e-05
2	54	-5.844878673553467	0.0	0.0	18.90614891052246	-5.861319541931152	491.71246337890625	486.63671875	0.010510437190532684	9.05463412215599e-05
3	81	-6.050641059875488	0.0	0.0	19.544538497924805	-6.0094709396362305	479.4283447265625	474.2668151855469	0.015962067991495132	7.959536998847742e-05
4	108	-6.073237419128418	0.0	0.0	16.348669052124023	-6.062915802001953	447.3565673828125	441.891357421875	0.017705276608467102	6.57963412215599e-05
5	135	-6.18062162399292	0.0	0.0	20.66423988342285	-6.196874141693115	442.217529296875	436.77435302734375	0.009908334352076054	5.05e-05
6	162	-6.349698066711426	0.0	0.0	17.500152587890625	-6.267387390136719	434.2168884277344	428.7376403808594	0.02284383773803711	3.5203658778440106e-05
7	189	-6.4145941734313965	0.0	0.0	17.11989974975586	-6.3508405685424805	412.2109375	406.5877685546875	0.02027243748307228	2.1404630011522586e-05
8	216	-6.465328216552734	0.0	0.0	17.888734817504883	-6.3774542808532715	410.37738037109375	404.74700927734375	0.01999739371240139	1.0453658778440107e-05
9	243	-6.413165092468262	0.0	0.0	15.403542518615723	-6.447422027587891	406.98358154296875	401.3326110839844	0.023426761850714684	3.4227024433899e-06
10	270	-6.638838768005371	0.0	0.0	15.890448570251465	-6.473783016204834	406.23162841796875	400.6038818359375	0.01500794943422079	1e-06
# Best epoch: 9
