# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-13.013816833496094	0.0	0.0	29.475358963012695	-12.962793350219727	456.30950927734375	443.6758728027344	0.011599700897932053	9.757729755661011e-05
2	54	-13.185489654541016	0.0	0.0	40.85986328125	-13.114840507507324	428.70111083984375	415.49761962890625	0.008236179128289223	9.05463412215599e-05
3	81	-13.115201950073242	0.0	0.0	48.40444564819336	-13.083529472351074	427.9056091308594	414.8609619140625	0.007562902756035328	7.959536998847742e-05
4	108	-13.241072654724121	0.0	0.0	34.539737701416016	-13.247200012207031	419.85174560546875	406.5040283203125	0.025222640484571457	6.57963412215599e-05
5	135	-13.447731018066406	0.0	0.0	29.055713653564453	-13.423392295837402	415.4017028808594	402.2432556152344	0.026798468083143234	5.05e-05
6	162	-13.483473777770996	0.0	0.0	42.365684509277344	-13.489794731140137	408.9369812011719	395.73486328125	0.021411895751953125	3.5203658778440106e-05
7	189	-13.462332725524902	0.0	0.0	227.32586669921875	-13.505243301391602	399.06707763671875	385.79071044921875	0.02392624132335186	2.1404630011522586e-05
8	216	-13.560453414916992	0.0	0.0	40.59250259399414	-13.593607902526855	390.2833251953125	376.7314453125	0.02871282398700714	1.0453658778440107e-05
9	243	-13.589223861694336	0.0	0.0	49.81407928466797	-13.675890922546387	387.69927978515625	374.0763854980469	0.030087143182754517	3.4227024433899e-06
10	270	-13.654165267944336	0.0	0.0	29.363279342651367	-13.692038536071777	385.5699157714844	371.99755859375	0.037745073437690735	1e-06
# Best epoch: 10
