# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-45.07050704956055	0.0	0.0	143.49591064453125	-45.01633834838867	352.7878112792969	311.25335693359375	0.03085702285170555	9.932488451843476e-05
2	54	-46.221675872802734	0.0	0.0	142.9967498779297	-46.402645111083984	228.1824188232422	183.31100463867188	0.0944230705499649	9.73179534641814e-05
3	81	-46.63512420654297	0.0	0.0	185.58432006835938	-46.781707763671875	191.45944213867188	145.94284057617188	0.08307048678398132	9.40339506847212e-05
4	108	-46.831031799316406	0.0	0.0	104.11587524414062	-46.86388397216797	172.42027282714844	126.65557861328125	0.10519178956747055	8.956245521512149e-05
5	135	-46.65309143066406	0.0	0.0	169.3681640625	-46.718605041503906	170.9881591796875	125.18267822265625	0.11497323215007782	8.40254377954742e-05
6	162	-46.98745346069336	0.0	0.0	93.35360717773438	-46.89661407470703	161.69874572753906	115.6209945678711	0.10421827435493469	7.757393382706014e-05
7	189	-46.93259811401367	0.0	0.0	140.5258331298828	-46.97477722167969	148.24237060546875	101.91634368896484	0.15818630158901215	7.038392352032199e-05
8	216	-47.08229064941406	0.0	0.0	115.74109649658203	-47.09038543701172	144.9663543701172	98.55194091796875	0.13482797145843506	6.265153161346956e-05
9	243	-47.20494079589844	0.0	0.0	81.3164291381836	-47.22528839111328	139.79127502441406	93.02608489990234	0.0938115119934082	5.458767760088046e-05
10	270	-47.29753112792969	0.0	0.0	82.98584747314453	-47.047157287597656	138.184326171875	91.24298095703125	0.099515400826931	4.6412322399119556e-05
11	297	-47.411964416503906	0.0	0.0	85.8658218383789	-47.38918685913086	133.20590209960938	86.15167236328125	0.11441411823034286	3.8348468386530454e-05
12	324	-47.31130599975586	0.0	0.0	138.02835083007812	-47.35692596435547	130.28060913085938	83.23213958740234	0.14406006038188934	3.061607647967801e-05
13	351	-47.46226119995117	0.0	0.0	90.26914978027344	-47.41252899169922	135.65386962890625	88.6334228515625	0.17013929784297943	2.3426066172939858e-05
14	378	-47.516510009765625	0.0	0.0	75.3416748046875	-47.50392150878906	129.86318969726562	82.78093719482422	0.20798540115356445	1.6974562204525823e-05
15	405	-47.58658981323242	0.0	0.0	47.33761978149414	-47.570831298828125	126.3906478881836	79.17607879638672	0.24258790910243988	1.143754478487852e-05
16	432	-47.61072540283203	0.0	0.0	64.50069427490234	-47.61252975463867	124.15406799316406	76.82308959960938	0.27213647961616516	6.966049315278794e-06
17	459	-47.62452697753906	0.0	0.0	88.27082824707031	-47.62980651855469	124.31023406982422	77.02639770507812	0.26992475986480713	3.682046535818579e-06
18	486	-47.65972137451172	0.0	0.0	37.18555450439453	-47.658363342285156	126.5155029296875	79.2410888671875	0.2864305377006531	1.6751154815652448e-06
19	513	-47.69387435913086	0.0	0.0	57.215919494628906	-47.66865158081055	125.16496276855469	77.85955047607422	0.20193593204021454	1e-06
# Best epoch: 18
