# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-26.240568161010742	0.0	0.0	44.50917434692383	-26.177181243896484	167.6260986328125	142.45791625976562	0.09712255001068115	1.4720887892512898e-05
2	54	-26.22334861755371	0.0	0.0	465.29595947265625	-26.2156982421875	170.72996520996094	145.45726013183594	0.06749036908149719	2.851210519515696e-05
3	81	-26.24457359313965	0.0	0.0	83.1739273071289	-26.17507553100586	169.04595947265625	143.78684997558594	0.06326358020305634	5.028853872814779e-05
4	108	-26.050918579101562	0.0	0.0	67.5905532836914	-25.978511810302734	172.70750427246094	147.35049438476562	0.07157368957996368	7.833678680135194e-05
5	135	-25.763473510742188	0.0	0.0	98.42937469482422	-25.586135864257812	182.50082397460938	157.57005310058594	0.05252360552549362	0.0001104499721691862
6	162	-25.461185455322266	0.0	0.0	75.26057434082031	-25.414154052734375	208.56002807617188	183.77017211914062	0.04389446973800659	0.00014410138236510013
7	189	-24.68194580078125	0.0	0.0	108.4312515258789	-25.00594139099121	209.030517578125	185.12451171875	0.02290428802371025	0.00017664327513976246
8	216	-24.540014266967773	0.0	0.0	244.82510375976562	-24.440322875976562	217.86013793945312	194.11044311523438	0.03099139779806137	0.0002055152066998506
9	243	-24.43060874938965	0.0	0.0	259.978515625	-23.557241439819336	237.53604125976562	214.65628051757812	0.012250920757651329	0.00022844549117643985
10	270	-24.668140411376953	0.0	0.0	124.68212890625	-24.546276092529297	230.196533203125	206.76348876953125	0.03974870964884758	0.00024362994019690677
11	297	-22.931127548217773	0.0	0.0	162.32940673828125	-23.306814193725586	286.7603759765625	265.73919677734375	0.006293985061347485	0.000249873819068998
12	324	-24.30342674255371	0.0	0.0	110.57689666748047	-24.652585983276367	255.03720092773438	232.1495361328125	0.02188139781355858	0.0002490831148795666
13	351	-24.230419158935547	0.0	0.0	156.45082092285156	-24.689741134643555	256.5651550292969	234.3692626953125	0.0336129404604435	0.0002456179920635089
14	378	-23.80410385131836	0.0	0.0	284.1394348144531	-22.70516014099121	281.8399353027344	259.58746337890625	0.008282789960503578	0.0002396906279377499
15	405	-23.229162216186523	0.0	0.0	279.85870361328125	-23.272258758544922	269.10186767578125	246.5571746826172	0.01167384535074234	0.00023150769222457458
16	432	-23.380910873413086	0.0	0.0	124.79698181152344	-23.79298973083496	275.1285400390625	253.912353515625	0.012979461811482906	0.00022135449978155481
17	459	-23.844390869140625	0.0	0.0	171.14280700683594	-23.613502502441406	279.332763671875	257.562744140625	0.014876984059810638	0.00020958506251313652
18	486	-24.181867599487305	0.0	0.0	94.44027709960938	-24.20651626586914	233.84771728515625	211.17025756835938	0.008608290925621986	0.0001966097460186159
19	513	-25.189762115478516	0.0	0.0	380.43304443359375	-24.824453353881836	205.039306640625	181.53005981445312	0.026865120977163315	0.0001828809613528205
20	540	-24.314144134521484	0.0	0.0	108.94037628173828	-24.579849243164062	230.57058715820312	207.58926391601562	0.024481531232595444	0.00016887739078564148
21	567	-24.526275634765625	0.0	0.0	96.8203353881836	-24.830276489257812	230.29425048828125	207.29623413085938	0.02987554296851158	0.00015508729756170373
22	594	-25.107358932495117	0.0	0.0	106.3805923461914	-25.168289184570312	207.89105224609375	184.3737030029297	0.030106743797659874	0.00014199150159967716
23	621	-25.389659881591797	0.0	0.0	79.17107391357422	-25.576553344726562	192.9663543701172	168.79266357421875	0.05406765639781952	0.00013004661471843258
24	648	-25.470458984375	0.0	0.0	108.53887176513672	-25.520092010498047	183.0364227294922	158.7089080810547	0.06215500086545944	0.00011966911992830905
25	675	-25.53546142578125	0.0	0.0	86.39508056640625	-25.533981323242188	176.8746337890625	152.62149047851562	0.04049766808748245	0.00011122084989569658
26	702	-25.186786651611328	0.0	0.0	224.15623474121094	-25.351654052734375	180.53497314453125	156.35546875	0.04914266988635063	0.00010499637090408714
27	729	-25.343055725097656	0.0	0.0	187.58175659179688	-25.373138427734375	185.466064453125	161.67575073242188	0.06415241956710815	0.00010121271219569881
28	756	-25.507863998413086	0.0	0.0	800.7692260742188	-25.500776290893555	184.01876831054688	159.822509765625	0.08337631821632385	0.00010000179880126917
# Best epoch: 1
