# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-38.66522979736328	0.0	0.0	147.86428833007812	-38.371734619140625	226.0499267578125	189.86788940429688	0.019738882780075073	9.757729755661011e-05
2	54	-39.390235900878906	0.0	0.0	80.28780364990234	-39.26519012451172	188.52511596679688	150.3180389404297	0.03033471666276455	9.05463412215599e-05
3	81	-39.641075134277344	0.0	0.0	73.35076904296875	-39.50845718383789	166.98915100097656	128.417236328125	0.043998461216688156	7.959536998847742e-05
4	108	-39.72066879272461	0.0	0.0	68.0522232055664	-39.52440643310547	163.23240661621094	124.6518783569336	0.06730130314826965	6.57963412215599e-05
5	135	-39.593505859375	0.0	0.0	124.17666625976562	-39.66737365722656	163.76084899902344	124.89073181152344	0.059147488325834274	5.05e-05
6	162	-39.93482971191406	0.0	0.0	61.63881301879883	-39.821712493896484	144.56463623046875	105.43411254882812	0.11644985526800156	3.5203658778440106e-05
7	189	-40.110984802246094	0.0	0.0	59.08625030517578	-40.03257751464844	142.951171875	103.56230926513672	0.08555053174495697	2.1404630011522586e-05
8	216	-40.20864486694336	0.0	0.0	54.67031478881836	-40.121639251708984	147.00741577148438	107.6142807006836	0.09906094521284103	1.0453658778440107e-05
9	243	-40.22233581542969	0.0	0.0	47.92449188232422	-40.193382263183594	142.07769775390625	102.49095916748047	0.11748705804347992	3.4227024433899e-06
10	270	-40.284912109375	0.0	0.0	38.344173431396484	-40.223358154296875	141.95755004882812	102.44598388671875	0.1451910436153412	1e-06
# Best epoch: 10
