# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-19.187101364135742	0.0	0.0	1001.0098266601562	-19.164398193359375	214.49270629882812	196.81307983398438	0.020618434995412827	1.4720887892512898e-05
2	54	-19.068403244018555	0.0	0.0	71.91671752929688	-19.181564331054688	212.67462158203125	194.9285125732422	0.012190278619527817	2.851210519515696e-05
3	81	-19.121654510498047	0.0	0.0	113.15372467041016	-19.26549530029297	200.05523681640625	182.11328125	0.019853398203849792	5.028853872814779e-05
4	108	-19.133920669555664	0.0	0.0	73.86308288574219	-19.042924880981445	200.20745849609375	182.4670867919922	0.024136357009410858	7.833678680135194e-05
5	135	-18.621925354003906	0.0	0.0	121.5655746459961	-18.492538452148438	239.06906127929688	221.88204956054688	0.011539226397871971	0.0001104499721691862
6	162	-17.951736450195312	0.0	0.0	94.10153198242188	-17.7442684173584	257.2602844238281	240.5196533203125	0.012203439138829708	0.00014410138236510013
7	189	-17.607067108154297	0.0	0.0	82.77252197265625	-17.561460494995117	298.43243408203125	282.1994934082031	0.00885949656367302	0.00017664327513976246
8	216	-16.66112518310547	0.0	0.0	153.86489868164062	-16.949140548706055	320.4163513183594	304.7570495605469	0.008751189336180687	0.0002055152066998506
9	243	-17.207111358642578	0.0	0.0	183.43218994140625	-17.624670028686523	302.2376708984375	286.660888671875	0.009198888204991817	0.00022844549117643985
10	270	-17.629697799682617	0.0	0.0	149.39944458007812	-17.691410064697266	291.0938415527344	275.191162109375	0.014657999388873577	0.00024362994019690677
11	297	-17.35299301147461	0.0	0.0	123.14844512939453	-17.34364128112793	328.23236083984375	312.5250244140625	0.013824689202010632	0.000249873819068998
12	324	-17.757335662841797	0.0	0.0	120.09107208251953	-17.82592010498047	298.87890625	282.46148681640625	0.01071078609675169	0.0002490831148795666
13	351	-17.439956665039062	0.0	0.0	100.60015106201172	-17.53406524658203	305.1351013183594	289.60205078125	0.011401426047086716	0.0002456179920635089
14	378	-17.52656364440918	0.0	0.0	58.22888946533203	-17.349334716796875	311.3533935546875	295.4024353027344	0.011691676452755928	0.0002396906279377499
15	405	-17.51863670349121	0.0	0.0	90.4581298828125	-17.385433197021484	312.72314453125	296.8348388671875	0.01516550313681364	0.00023150769222457458
16	432	-16.354310989379883	0.0	0.0	201.46778869628906	-16.224300384521484	403.9618835449219	389.03692626953125	0.0031524798832833767	0.00022135449978155481
17	459	-18.099456787109375	0.0	0.0	68.26546478271484	-18.01117706298828	282.54144287109375	266.341796875	0.01585501991212368	0.00020958506251313652
18	486	-18.305294036865234	0.0	0.0	1695.051513671875	-17.625152587890625	278.4764404296875	261.9507141113281	0.014197438955307007	0.0001966097460186159
19	513	-18.187931060791016	0.0	0.0	240.6586151123047	-17.946603775024414	276.38360595703125	259.5093078613281	0.006856988184154034	0.0001828809613528205
20	540	-18.59723663330078	0.0	0.0	60.4989128112793	-18.588064193725586	255.6565399169922	238.76670837402344	0.018622931092977524	0.00016887739078564148
21	567	-18.814453125	0.0	0.0	368.4446105957031	-18.305572509765625	275.03399658203125	258.2039489746094	0.010195072740316391	0.00015508729756170373
22	594	-18.882362365722656	0.0	0.0	64.85269165039062	-18.68903923034668	262.7554931640625	245.59825134277344	0.02504356950521469	0.00014199150159967716
23	621	-18.700326919555664	0.0	0.0	234.06961059570312	-18.498252868652344	260.5384521484375	243.28817749023438	0.015982910990715027	0.00013004661471843258
24	648	-19.11078453063965	0.0	0.0	75.40748596191406	-19.099117279052734	261.6031188964844	244.179443359375	0.023624395951628685	0.00011966911992830905
25	675	-19.18838119506836	0.0	0.0	96.10047912597656	-19.223390579223633	223.8307342529297	205.9066162109375	0.028243783861398697	0.00011122084989569658
26	702	-19.30548858642578	0.0	0.0	79.15396118164062	-19.483341217041016	199.16806030273438	180.81895446777344	0.034064337611198425	0.00010499637090408714
27	729	-19.56532096862793	0.0	0.0	64.28280639648438	-19.566741943359375	209.14303588867188	190.92218017578125	0.04066958278417587	0.00010121271219569881
28	756	-19.469768524169922	0.0	0.0	190.42005920410156	-19.393657684326172	207.0452880859375	188.63644409179688	0.03236109018325806	0.00010000179880126917
# Best epoch: 27
