# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-24.639480590820312	0.0	0.0	84.3045654296875	-24.630300521850586	178.08572387695312	154.66650390625	0.050435662269592285	1.4720887892512898e-05
2	54	-24.683666229248047	0.0	0.0	1208.826171875	-24.635175704956055	169.18345642089844	145.58596801757812	0.04410988837480545	2.851210519515696e-05
3	81	-24.599607467651367	0.0	0.0	60.027793884277344	-24.605510711669922	176.8055877685547	153.41259765625	0.04897226020693779	5.028853872814779e-05
4	108	-24.205936431884766	0.0	0.0	123.70509338378906	-24.343719482421875	190.85665893554688	167.7783203125	0.031164702028036118	7.833678680135194e-05
5	135	-24.23733139038086	0.0	0.0	10397.326171875	-23.301666259765625	205.409423828125	182.52163696289062	0.018141722306609154	0.0001104499721691862
6	162	-23.975749969482422	0.0	0.0	89.57121276855469	-24.007408142089844	207.29299926757812	184.85704040527344	0.027292560786008835	0.00014410138236510013
7	189	-23.7946834564209	0.0	0.0	79.36275482177734	-23.147926330566406	214.76138305664062	192.5943603515625	0.024203047156333923	0.00017664327513976246
8	216	-22.77943992614746	0.0	0.0	80.29656219482422	-23.046966552734375	253.54283142089844	232.66976928710938	0.02178528904914856	0.0002055152066998506
9	243	-21.280433654785156	0.0	0.0	255.3938446044922	-21.389995574951172	295.2528076171875	274.92449951171875	0.005766361486166716	0.00022844549117643985
10	270	-19.800872802734375	0.0	0.0	250.8612518310547	-21.5322265625	306.188720703125	285.4920654296875	0.008498087525367737	0.00024362994019690677
11	297	-23.285322189331055	0.0	0.0	87.13640594482422	-23.182628631591797	260.3795166015625	238.9167938232422	0.018832452595233917	0.000249873819068998
12	324	-23.13715171813965	0.0	0.0	353.81390380859375	-22.487445831298828	268.22210693359375	247.01983642578125	0.017386041581630707	0.0002490831148795666
13	351	-21.73334312438965	0.0	0.0	105.13639068603516	-22.500316619873047	309.93853759765625	289.95947265625	0.01201600767672062	0.0002456179920635089
14	378	-22.08375358581543	0.0	0.0	247.42739868164062	-22.299741744995117	297.91876220703125	277.3565673828125	0.009567687287926674	0.0002396906279377499
15	405	-23.37624740600586	0.0	0.0	72.58650207519531	-22.966148376464844	256.9544677734375	235.3841552734375	0.011703919619321823	0.00023150769222457458
16	432	-23.351318359375	0.0	0.0	140.28952026367188	-23.04091453552246	247.39451599121094	225.734375	0.02410046011209488	0.00022135449978155481
17	459	-23.796539306640625	0.0	0.0	179.6335906982422	-23.525190353393555	227.09832763671875	205.07162475585938	0.023944800719618797	0.00020958506251313652
18	486	-23.44532012939453	0.0	0.0	114.08514404296875	-23.849220275878906	237.06869506835938	215.28648376464844	0.019356463104486465	0.0001966097460186159
19	513	-23.913175582885742	0.0	0.0	265.43658447265625	-23.815855026245117	218.7413787841797	196.23275756835938	0.019162632524967194	0.0001828809613528205
20	540	-23.697866439819336	0.0	0.0	127.97654724121094	-23.68897819519043	233.1663818359375	210.987548828125	0.041678689420223236	0.00016887739078564148
21	567	-23.446758270263672	0.0	0.0	106.89362335205078	-23.67999267578125	221.51947021484375	199.52438354492188	0.009567426517605782	0.00015508729756170373
22	594	-23.69826316833496	0.0	0.0	105.72134399414062	-23.743925094604492	218.708251953125	196.54421997070312	0.02576988935470581	0.00014199150159967716
23	621	-24.243412017822266	0.0	0.0	39.723697662353516	-24.21915054321289	208.7607879638672	186.12350463867188	0.03815172612667084	0.00013004661471843258
24	648	-24.399755477905273	0.0	0.0	48.97185134887695	-24.4646053314209	204.2568359375	181.0914306640625	0.028516141697764397	0.00011966911992830905
25	675	-23.98352813720703	0.0	0.0	127.6089859008789	-24.2310791015625	197.76251220703125	174.43539428710938	0.047213129699230194	0.00011122084989569658
26	702	-24.394699096679688	0.0	0.0	81.87712860107422	-24.459951400756836	209.1397705078125	185.9799041748047	0.05645792931318283	0.00010499637090408714
27	729	-24.4422664642334	0.0	0.0	254.65086364746094	-24.367931365966797	203.0193328857422	179.52195739746094	0.039325639605522156	0.00010121271219569881
28	756	-24.750438690185547	0.0	0.0	202.22000122070312	-24.69550132751465	182.57992553710938	159.08172607421875	0.06587451696395874	0.00010000179880126917
# Best epoch: 28
