# epoch	step	nll	ecut	ecut_viol	grad_norm	val_nll	val_ecut	val_ecut_viol	val_ress_zx	LR
1	27	-8.810457229614258	0.0	0.0	93.58769989013672	-8.836018562316895	297.20745849609375	289.2378845214844	0.022106748074293137	1.4720887892512898e-05
2	54	-8.727602005004883	0.0	0.0	73.40253448486328	-8.83389663696289	303.69720458984375	295.66546630859375	0.019177230075001717	2.851210519515696e-05
3	81	-8.778886795043945	0.0	0.0	32.00618362426758	-8.76425552368164	300.080078125	292.09814453125	0.017302485182881355	5.028853872814779e-05
4	108	-8.840349197387695	0.0	0.0	38.052520751953125	-8.680913925170898	304.6443786621094	296.60675048828125	0.01425334345549345	7.833678680135194e-05
5	135	-7.926501274108887	0.0	0.0	123.94738006591797	-7.998668670654297	356.2549743652344	348.54071044921875	0.006418814416974783	0.0001104499721691862
6	162	-7.784632682800293	0.0	0.0	60.35969161987305	-7.707304954528809	391.25885009765625	383.66131591796875	0.009532726369798183	0.00014410138236510013
7	189	-8.071353912353516	0.0	0.0	80.91596221923828	-8.135129928588867	358.9638366699219	351.35272216796875	0.016656918451189995	0.00017664327513976246
8	216	-6.930055618286133	0.0	0.0	75.44890594482422	-7.109914779663086	451.92095947265625	444.89276123046875	0.0093242097645998	0.0002055152066998506
9	243	-7.295076370239258	0.0	0.0	82.55290985107422	-7.081725120544434	408.8291015625	401.4103698730469	0.0049864258617162704	0.00022844549117643985
10	270	-6.684730052947998	0.0	0.0	90.67169189453125	-6.723998069763184	440.5801696777344	433.53125	0.0038829592522233725	0.00024362994019690677
11	297	-6.969424247741699	0.0	0.0	40.20355987548828	-7.149564266204834	434.1143493652344	426.9902038574219	0.008143831044435501	0.000249873819068998
12	324	-7.752281188964844	0.0	0.0	183.68536376953125	-7.663032531738281	400.4466247558594	393.1787109375	0.010494396090507507	0.0002490831148795666
13	351	-7.190398216247559	0.0	0.0	118.16667938232422	-7.004319667816162	420.78411865234375	413.4322509765625	0.008391153067350388	0.0002456179920635089
14	378	-6.037543296813965	0.0	0.0	199.4688262939453	-6.1660895347595215	469.2983093261719	461.89349365234375	0.006609264761209488	0.0002396906279377499
15	405	-7.460793972015381	0.0	0.0	68.50090789794922	-7.128814697265625	435.1082458496094	428.1252136230469	0.0038146451115608215	0.00023150769222457458
16	432	-7.4542646408081055	0.0	0.0	43.17840576171875	-7.712940216064453	385.90093994140625	378.4008483886719	0.006307289004325867	0.00022135449978155481
17	459	-7.857810020446777	0.0	0.0	104.849365234375	-8.029645919799805	371.2608337402344	363.79022216796875	0.012075366452336311	0.00020958506251313652
18	486	-7.759021282196045	0.0	0.0	43.39255142211914	-7.803135871887207	382.0752868652344	374.613037109375	0.008274856954813004	0.0001966097460186159
19	513	-8.169479370117188	0.0	0.0	135.6859893798828	-8.164220809936523	345.02069091796875	337.22711181640625	0.007818679325282574	0.0001828809613528205
20	540	-8.234515190124512	0.0	0.0	29.506004333496094	-8.10941219329834	360.1244812011719	352.5583190917969	0.01064273901283741	0.00016887739078564148
21	567	-8.079131126403809	0.0	0.0	184.971435546875	-8.046415328979492	358.3160400390625	350.69525146484375	0.014985844492912292	0.00015508729756170373
22	594	-7.164875030517578	0.0	0.0	84.33814239501953	-7.175070762634277	430.7135009765625	423.8134765625	0.005830693058669567	0.00014199150159967716
23	621	-6.309576988220215	0.0	0.0	57.61085510253906	-6.207139492034912	512.1741943359375	505.27783203125	0.0029471288435161114	0.00013004661471843258
24	648	-5.97575569152832	0.0	0.0	73.9719009399414	-6.114596843719482	524.6381225585938	518.2083740234375	0.0031846365891397	0.00011966911992830905
25	675	-6.9659223556518555	0.0	0.0	69.84727478027344	-6.95023250579834	472.8107604980469	465.967529296875	0.005769097711890936	0.00011122084989569658
26	702	-7.010066986083984	0.0	0.0	65.41277313232422	-7.031394004821777	463.8155517578125	456.9224548339844	0.007426648400723934	0.00010499637090408714
27	729	-7.248659133911133	0.0	0.0	49.832550048828125	-7.157744407653809	459.96405029296875	453.1701354980469	0.008294089697301388	0.00010121271219569881
28	756	-7.567605972290039	0.0	0.0	134.30636596679688	-7.604606628417969	418.580078125	411.34735107421875	0.012418370693922043	0.00010000179880126917
# Best epoch: 1
